brand,name,price,processor,ram,ssd,hdd,display,os,rating
lenovo,Lenovo Intel Core i5 11th Gen,62990,intel_core_i5,0.42857142857142855,0.125,0.0,0.1709401709401709,windows,4.5
lenovo,Lenovo V15 G2 Core i3 11th Gen,37500,intel_core_i3,0.14285714285714285,0.0625,0.5,0.1709401709401709,windows,4.4
asus,ASUS TUF Gaming F15 Core i5 10th Gen,49990,intel_core_i5,0.14285714285714285,0.125,0.0,0.1709401709401709,windows,4.4
asus,ASUS VivoBook 15 (2022) Core i3 10th Gen,33990,intel_core_i3,0.14285714285714285,0.125,0.0,0.1709401709401709,windows,4.3
lenovo,Lenovo Athlon Dual Core,18990,amd_athlon,0.0,0.0625,0.0,0.10256410256410253,dos,3.8
apple,APPLE 2020 Macbook Air M1,86990,apple_m1,0.14285714285714285,0.0625,0.0,0.07264957264957272,mac,4.7
asus,ASUS VivoBook 14 (2021) Celeron Dual Core,23990,intel_celeron,0.0,0.0625,0.0,0.10256410256410253,windows,4.1
dell,DELL Vostro Ryzen 3 Quad Core 5425U,36890,amd_ryzen_3,0.14285714285714285,0.0625,0.0,0.10256410256410253,windows,4.3
lenovo,Lenovo V15 G2 Core i3 11th Gen,33999,intel_core_i3,0.14285714285714285,0.125,0.0,0.1709401709401709,windows,4.0
redmibook,RedmiBook Pro Core i5 11th Gen,38990,intel_core_i5,0.14285714285714285,0.125,0.0,0.1709401709401709,windows,4.1
acer,acer Aspire 3 Ryzen 3 Dual Core 3250U,26990,amd_ryzen_3,0.14285714285714285,0.0625,0.0,0.1709401709401709,windows,4.2
asus,ASUS Vivobook 14 (2022) Core i5 12th Gen,66990,intel_core_i5,0.42857142857142855,0.125,0.0,0.10256410256410253,windows,5.0
asus,ASUS Vivobook 15 Core i3 11th Gen,37990,intel_core_i3,0.14285714285714285,0.125,0.0,0.1709401709401709,windows,4.1
asus,ASUS Core i7 11th Gen,56990,intel_core_i7,0.42857142857142855,0.125,0.0,0.1709401709401709,windows,4.1
dell,DELL Vostro Core i3 11th Gen,39990,intel_core_i3,0.14285714285714285,0.0625,0.5,0.1709401709401709,windows,4.1
realme,realme Book (Slim) Core i3 11th Gen,46990,intel_core_i3,0.14285714285714285,0.0625,0.0,0.10256410256410253,windows,4.4
hp,HP 14s Intel Core i3 11th Gen,37990,intel_core_i3,0.14285714285714285,0.0625,0.0,0.10256410256410253,windows,4.2
hp,HP Ryzen 5 Hexa Core 5500U,49123,amd_ryzen_5,0.42857142857142855,0.125,0.0,0.1709401709401709,windows,4.3
msi,MSI Bravo 15 Ryzen 5 Hexa Core AMD R5,47990,amd_ryzen_5,0.14285714285714285,0.125,0.0,0.1709401709401709,windows,4.4
asus,ASUS Zenbook Flip 14 OLED (2022) Touch Panel Core i5 12th Gen,86500,intel_core_i5,0.42857142857142855,0.125,0.0,0.10256410256410253,windows,4.4
apple,APPLE 2020 Macbook Air M1,86990,apple_m1,0.14285714285714285,0.0625,0.0,0.07264957264957272,mac,4.7
hp,HP 15s Intel Core i3 12th Gen,44990,intel_core_i3,0.14285714285714285,0.125,0.0,0.1709401709401709,windows,4.2
hp,HP Intel Core i5 11th Gen,52990,intel_core_i5,0.14285714285714285,0.125,0.0,0.1709401709401709,windows,4.3
hp,HP Ryzen 3 Quad Core 5300U,38990,amd_ryzen_3,0.14285714285714285,0.125,0.0,0.1709401709401709,windows,4.2
lenovo,Lenovo IdeaPad 3 Core i3 11th Gen,33890,intel_core_i3,0.14285714285714285,0.0625,0.0,0.10256410256410253,windows,4.2
asus,ASUS Core i3 10th Gen,33990,intel_core_i3,0.14285714285714285,0.125,0.0,0.10256410256410253,windows,4.4
